Date,Project_ID,Units_Sold,Sales_Revenue,Promotion_Applied,Lead_Source,Marketing_Channel,Avg_Competitor_Price_Nearby,Interest_Rate_Change_Indicator,Nearby_Infrastructure_Dev_Score,Economic_Sentiment_Index
2023-01-01,P001,5,5000000,Discount_10%,Online_Ads,Digital,185000,0,7,85.2
2023-01-01,P002,2,3000000,Free_Furniture,Referral,Word_of_Mouth,155000,0,6,85.2
2023-01-02,P001,3,3200000,None,Website,Digital,185500,0,7,85.5
2023-01-02,P003,1,1200000,Discount_5%,Social_Media,Digital,138000,0,5,85.5
2023-01-03,P001,4,4500000,Discount_10%,Online_Ads,Digital,186000,0,7,85.0
2023-01-03,P002,1,1500000,None,Event,Offline,155200,0,6,85.0
2023-04-01,P001,6,6200000,Cashback,Online_Ads,Digital,190000,1,8,88.0
2023-04-01,P004,2,1600000,Free_Legal,Event,Offline,75000,1,4,88.0
2023-04-02,P001,4,4800000,None,Referral,Word_of_Mouth,190200,1,8,88.2
2023-04-02,P003,2,2500000,Discount_5%,Website,Digital,139000,1,5,88.2
2023-07-01,P001,7,7500000,Discount_15%,Online_Ads,Digital,195000,0,9,90.5
2023-07-01,P002,3,4000000,Furniture_Package,Event,Offline,160000,0,7,90.5
2023-07-02,P001,5,5500000,None,Website,Digital,195500,0,9,90.7
2023-07-02,P005,1,2000000,None,Social_Media,Digital,210000,0,8,90.7
2023-10-01,P001,8,8500000,Cashback,Online_Ads,Digital,200000,-1,9,89.0
2023-10-01,P004,3,2500000,Discount_10%,Referral,Word_of_Mouth,78000,-1,5,89.0
2023-10-02,P001,6,6800000,None,Event,Offline,200500,-1,9,89.2
2023-10-02,P005,2,4200000,Free_Appliances,Website,Digital,212000,-1,8,89.2
2024-01-01,P001,6,6500000,Discount_10%,Online_Ads,Digital,205000,0,9,91.0
2024-01-01,P002,2,3000000,Free_Furniture,Referral,Word_of_Mouth,162000,0,7,91.0
2024-01-02,P001,4,4500000,None,Website,Digital,205500,0,9,91.2
2024-01-02,P003,1,1300000,Discount_5%,Social_Media,Digital,140000,0,6,91.2
