feedback_id,feedback_text,customer_id,project_id,feedback_source,rating,Feedback_Date
FB001,การบริการดีเยี่ยม,C101,P001,Online Survey,5,2023-01-15
FB002,โครงการสวยมาก แต่ที่จอดรถน้อยไปหน่อย,C102,P002,Email,4,2023-02-20
FB003,พนักงานให้ข้อมูลไม่ชัดเจน,C103,P003,Phone Call,2,2023-03-05
FB004,คุณภาพวัสดุดีเกินคาด,C104,P001,Direct Feedback,5,2023-04-10
FB005,ขั้นตอนการโอนยุ่งยาก,C105,P002,Online Survey,3,2023-05-18
FB006,ทำเลดีเยี่ยม เดินทางสะดวก,C106,P003,Email,5,2023-06-22
FB007,มีเสียงดังรบกวนจากเพื่อนบ้าน,C107,P001,Phone Call,3,2023-07-01
FB008,พอใจกับราคาและสิ่งที่ได้รับ,C108,P002,Direct Feedback,4,2023-08-09
FB009,ห้องกว้างขวาง สบายตา,C109,P003,Online Survey,5,2023-09-14
FB010,ล่าช้าในการส่งมอบ,C110,P001,Email,2,2023-10-25
FB011,ชอบการออกแบบภายใน,C111,P002,Phone Call,5,2023-11-30
FB012,ระบบรักษาความปลอดภัยดีมาก,C112,P003,Direct Feedback,5,2023-12-12
FB013,ปัญหาเล็กน้อยได้รับการแก้ไขรวดเร็ว,C113,P001,Online Survey,4,2024-01-05
FB014,อยากให้มีสิ่งอำนวยความสะดวกเพิ่มขึ้น,C114,P002,Email,3,2024-02-19
FB015,การตอบกลับจากฝ่ายบริการลูกค้าช้า,C115,P003,Phone Call,2,2024-03-28
FB016,บรรยากาศเงียบสงบ เหมาะแก่การพักผ่อน,C116,P001,Direct Feedback,5,2024-04-01
FB017,ค่าส่วนกลางค่อนข้างสูง,C117,P002,Online Survey,3,2024-05-11
FB018,เพื่อนบ้านเป็นมิตร,C118,P003,Email,4,2024-06-25
FB019,คุณภาพการก่อสร้างแข็งแรง,C119,P001,Phone Call,5,2024-07-07
FB020,การจัดการขยะยังไม่ดีเท่าที่ควร,C120,P002,Direct Feedback,3,2024-07-15
